Selection	Begin File	End File	Begin Time (s)	End Time (s)	Begin Date Time	End Date	End Clock Time	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	Species	Signal Type	annotator
1	CESCAB_20240802_044022.flac	CESCAB_20240802_044022.flac	4796.346800089	4796.997100115	2024/8/2  4:40:48.3468	2024/8/2	4:40:48.9971	0.6503	7669.173	16090.226	13593.75	Delphinidae	whistles	SA
2	CESCAB_20240802_103252.flac	CESCAB_20240802_103252.flac	6201.720799923	6201.846800089	2024/8/2  10:33:13.7208	2024/8/2	10:33:13.8468	0.126	5586.735	9260.204	6093.75	Delphinidae	whistles	SA
3	CESCAB_20240802_152522.flac	CESCAB_20240802_152522.flac	7353.812799931	7354.719500065	2024/8/2  15:25:25.8128	2024/8/2	15:25:26.7195	0.9067	9107.143	15229.592	9375	Delphinidae	whistles	SA
4	CESCAB_20240802_152522.flac	CESCAB_20240802_152522.flac	7363.08949995	7363.888299942	2024/8/2  15:25:35.0895	2024/8/2	15:25:35.8883	0.7988	10102.041	12091.837	10781.25	Delphinidae	whistles	SA
5	CESCAB_20240802_152522.flac	CESCAB_20240802_152522.flac	7365.297499895	7366.565999985	2024/8/2  15:25:37.2975	2024/8/2	15:25:38.5660	1.2685	6198.98	14464.286	6562.5	Delphinidae	whistles	SA
6	CESCAB_20240802_153252.flac	CESCAB_20240802_153252.flac	7386.021800041	7386.960400105	2024/8/2  15:32:58.0218	2024/8/2	15:32:58.9604	0.9386	8188.776	12933.673	8437.5	Delphinidae	whistles	SA
7	CESCAB_20240802_153252.flac	CESCAB_20240802_153252.flac	7405.123500109	7405.735500097	2024/8/2  15:33:17.1235	2024/8/2	15:33:17.7355	0.612	7806.122	10867.347	7968.75	Delphinidae	whistles	SA
8	CESCAB_20240802_153252.flac	CESCAB_20240802_153252.flac	7405.983099937	7406.244100094	2024/8/2  15:33:17.9831	2024/8/2	15:33:18.2441	0.261	12474.49	14617.347	13125	Delphinidae	whistles	SA
9	CESCAB_20240802_154022.flac	CESCAB_20240802_154022.flac	7412.933900118	7413.274399996	2024/8/2  15:40:24.9339	2024/8/2	15:40:25.2744	0.3405	8494.898	9948.98	8906.25	Delphinidae	whistles	SA
10	CESCAB_20240802_154022.flac	CESCAB_20240802_154022.flac	7428.325999975	7430.078099966	2024/8/2  15:40:40.3260	2024/8/2	15:40:42.0781	1.7521	8219.178	14383.562	11718.75	Delphinidae	whistles	SA
11	CESCAB_20240802_170252.flac	CESCAB_20240802_170252.flac	7762.792099953	7762.950700045	2024/8/2  17:03:14.7921	2024/8/2	17:03:14.9507	0.1586	5816.327	8647.959	6093.75	Delphinidae	whistles	SA
12	CESCAB_20240802_174022.flac	CESCAB_20240802_174022.flac	7919.323400021	7919.410099983	2024/8/2  17:40:51.3234	2024/8/2	17:40:51.4101	0.0867	10331.633	12780.612	11250	Delphinidae	whistles	SA
13	CESCAB_20240802_174752.flac	CESCAB_20240802_174752.flac	7921.013000011	7921.188800097	2024/8/2  17:47:53.0130	2024/8/2	17:47:53.1888	0.1758	12474.49	16301.02	13593.75	Delphinidae	whistles	SA
14	CESCAB_20240802_174752.flac	CESCAB_20240802_174752.flac	7947.0151999	7947.146500111	2024/8/2  17:48:19.0152	2024/8/2	17:48:19.1465	0.1313	12857.143	17448.98	13593.75	Delphinidae	whistles	SA
15	CESCAB_20240802_175522.flac	CESCAB_20240802_175522.flac	7954.677400112	7955.248500109	2024/8/2  17:55:26.6774	2024/8/2	17:55:27.2485	0.5711	7806.122	16224.49	7968.75	Delphinidae	whistles	SA
16	CESCAB_20240802_175522.flac	CESCAB_20240802_175522.flac	7957.230900049	7957.6796	2024/8/2  17:55:29.2309	2024/8/2	17:55:29.6796	0.4487	6045.918	13698.98	6093.75	Delphinidae	whistles	SA
17	CESCAB_20240802_175522.flac	CESCAB_20240802_175522.flac	7962.265599966	7962.629199982	2024/8/2  17:55:34.2656	2024/8/2	17:55:34.6292	0.3636	7346.939	12627.551	7500	Delphinidae	whistles	SA
18	CESCAB_20240802_175522.flac	CESCAB_20240802_175522.flac	7966.363199949	7966.86439991	2024/8/2  17:55:38.3632	2024/8/2	17:55:38.8644	0.5012	7806.122	16607.143	7968.75	Delphinidae	whistles	SA
