Selection	Begin File	End File	Begin Time (s)	End Time (s)	Begin Date Time	End Date	End Clock Time	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	Species	Signal Type	annotator
19	CESCAB_20240802_175522.flac	CESCAB_20240802_175522.flac	7967.010799885	7967.124500036	2024/8/2  17:55:39.0108	2024/8/2	17:55:39.1245	0.1137	9183.673	16454.082	9375	Delphinidae	whistles	SA
20	CESCAB_20240802_175522.flac	CESCAB_20240802_175522.flac	7970.143399954	7970.590500116	2024/8/2  17:55:42.1434	2024/8/2	17:55:42.5905	0.4471	8341.837	15841.837	8437.5	Delphinidae	whistles	SA
21	CESCAB_20240802_182522.flac	CESCAB_20240802_182522.flac	8070.244999886	8071.131500006	2024/8/2  18:25:22.2450	2024/8/2	18:25:23.1315	0.8865	9030.612	13622.829	11250	Delphinidae	whistles	SA
22	CESCAB_20240802_182522.flac	CESCAB_20240802_182522.flac	8071.204999924	8071.946399927	2024/8/2  18:25:23.2050	2024/8/2	18:25:23.9464	0.7414	8039.702	15483.871	11250	Delphinidae	whistles	SA
23	CESCAB_20240802_182522.flac	CESCAB_20240802_182522.flac	8075.075500011	8075.756500006	2024/8/2  18:25:27.0755	2024/8/2	18:25:27.7565	0.681	10794.045	15334.988	11250	Delphinidae	whistles	SA
24	CESCAB_20240802_182522.flac	CESCAB_20240802_182522.flac	8080.872699976	8081.302299976	2024/8/2  18:25:32.8727	2024/8/2	18:25:33.3023	0.4296	10421.836	13622.829	11250	Delphinidae	whistles	SA
25	CESCAB_20240802_182522.flac	CESCAB_20240802_182522.flac	8082.514800072	8082.914200068	2024/8/2  18:25:34.5148	2024/8/2	18:25:34.9142	0.3994	12729.529	21066.998	13593.75	Delphinidae	whistles	SA
26	CESCAB_20240802_182522.flac	CESCAB_20240802_182522.flac	8086.756500006	8087.195199966	2024/8/2  18:25:38.7565	2024/8/2	18:25:39.1952	0.4387	9081.886	12133.995	11250	Delphinidae	whistles	SA
27	CESCAB_20240802_182522.flac	CESCAB_20240802_182522.flac	8089.006500006	8089.399499893	2024/8/2  18:25:41.0065	2024/8/2	18:25:41.3995	0.393	10570.72	13325.062	11250	Delphinidae	whistles	SA
28	CESCAB_20240802_182522.flac	CESCAB_20240802_182522.flac	8095.985599995	8096.625699997	2024/8/2  18:25:47.9856	2024/8/2	18:25:48.6257	0.6401	10272.953	11985.112	11250	Delphinidae	whistles	SA
29	CESCAB_20240802_234752.flac	CESCAB_20240802_234752.flac	9386.341399908	9387.022399902	2024/8/2  23:48:18.3414	2024/8/2	23:48:19.0224	0.681	10794.045	13697.27	11250	Delphinidae	whistles	SA
30	CESCAB_20240803_110252.flac	CESCAB_20240803_110252.flac	12063.99000001	12064.736999989	2024/8/3  11:02:55.9900	2024/8/3	11:02:56.7370	0.747	8796.992	13834.586	10781.25	Delphinidae	whistles	SA
31	CESCAB_20240803_110252.flac	CESCAB_20240803_110252.flac	12083.861999989	12084.685499906	2024/8/3  11:03:15.8620	2024/8/3	11:03:16.6855	0.8235	9774.436	14436.09	10781.25	Delphinidae	whistles	SA
32	CESCAB_20240803_110252.flac	CESCAB_20240803_110252.flac	12087.139899969	12087.886100054	2024/8/3  11:03:19.1399	2024/8/3	11:03:19.8861	0.7462	6691.729	16766.917	7968.75	Delphinidae	whistles	SA
33	CESCAB_20240803_111022.flac	CESCAB_20240803_111022.flac	12113.028300047	12113.961999893	2024/8/3  11:10:45.0283	2024/8/3	11:10:45.9620	0.9337	8345.865	17443.609	17343.75	Delphinidae	whistles	SA
34	CESCAB_20240803_111752.flac	CESCAB_20240803_111752.flac	12125.265500069	12125.794199944	2024/8/3  11:17:57.2655	2024/8/3	11:17:57.7942	0.5287	6766.917	10601.504	7031.25	Delphinidae	whistles	SA
35	CESCAB_20240803_111752.flac	CESCAB_20240803_111752.flac	12143.712500095	12144.668800116	2024/8/3  11:18:15.7125	2024/8/3	11:18:16.6688	0.9563	5413.534	20075.188	6093.75	Delphinidae	whistles	SA
36	CESCAB_20240803_111752.flac	CESCAB_20240803_111752.flac	12144.101799965	12145.355000019	2024/8/3  11:18:16.1018	2024/8/3	11:18:17.3550	1.2532	3984.962	13984.962	4218.75	Delphinidae	whistles	SA
37	CESCAB_20240803_112522.flac	CESCAB_20240803_112522.flac	12151.357500076	12152.275500059	2024/8/3  11:25:23.3575	2024/8/3	11:25:24.2755	0.918	7067.669	15864.662	8437.5	Delphinidae	whistles	SA
38	CESCAB_20240803_112522.flac	CESCAB_20240803_112522.flac	12154.351799965	12155.240600109	2024/8/3  11:25:26.3518	2024/8/3	11:25:27.2406	0.8888	6766.917	14661.654	7031.25	Delphinidae	whistles	SA
39	CESCAB_20240803_112522.flac	CESCAB_20240803_112522.flac	12155.83920002	12156.725699902	2024/8/3  11:25:27.8392	2024/8/3	11:25:28.7257	0.8865	5488.722	15037.594	5625	Delphinidae	whistles	SA
40	CESCAB_20240803_112522.flac	CESCAB_20240803_112522.flac	12160.717200041	12161.691499948	2024/8/3  11:25:32.7172	2024/8/3	11:25:33.6915	0.9743	6466.165	14210.526	6562.5	Delphinidae	whistles	SA
41	CESCAB_20240803_112522.flac	CESCAB_20240803_112522.flac	12163.670099974	12164.518399954	2024/8/3  11:25:35.6701	2024/8/3	11:25:36.5184	0.8483	5714.286	13834.586	6093.75	Delphinidae	whistles	SA
42	CESCAB_20240803_112522.flac	CESCAB_20240803_112522.flac	12164.997900009	12165.990099907	2024/8/3  11:25:36.9979	2024/8/3	11:25:37.9901	0.9922	6240.602	13834.586	6562.5	Delphinidae	whistles	SA
43	CESCAB_20240803_112522.flac	CESCAB_20240803_112522.flac	12165.904599905	12166.17689991	2024/8/3  11:25:37.9046	2024/8/3	11:25:38.1769	0.2723	11428.571	17443.609	17343.75	Delphinidae	whistles	SA
44	CESCAB_20240803_112522.flac	CESCAB_20240803_112522.flac	12165.929399967	12166.287100077	2024/8/3  11:25:37.9294	2024/8/3	11:25:38.2871	0.3577	6315.789	9849.624	7031.25	Delphinidae	whistles	SA
45	CESCAB_20240803_112522.flac	CESCAB_20240803_112522.flac	12167.86439991	12168.244600058	2024/8/3  11:25:39.8644	2024/8/3	11:25:40.2446	0.3802	5413.534	11654.135	5625	Delphinidae	whistles	SA
46	CESCAB_20240803_112522.flac	CESCAB_20240803_112522.flac	12169.808399916	12170.998600006	2024/8/3  11:25:41.8084	2024/8/3	11:25:42.9986	1.1902	5864.662	14812.03	6093.75	Delphinidae	whistles	SA
47	CESCAB_20240803_112522.flac	CESCAB_20240803_112522.flac	12174.987299919	12176.449800014	2024/8/3  11:25:46.9873	2024/8/3	11:25:48.4498	1.4625	6691.729	13684.211	7031.25	Delphinidae	whistles	SA
48	CESCAB_20240803_113252.flac	CESCAB_20240803_113252.flac	12184.502599955	12185.047100067	2024/8/3  11:32:56.5026	2024/8/3	11:32:57.0471	0.5445	9849.624	15939.85	11250	Delphinidae	whistles	SA
49	CESCAB_20240803_113252.flac	CESCAB_20240803_113252.flac	12189.914400101	12190.377899885	2024/8/3  11:33:01.9144	2024/8/3	11:33:02.3779	0.4635	9548.872	15112.782	9843.75	Delphinidae	whistles	SA
50	CESCAB_20240803_113252.flac	CESCAB_20240803_113252.flac	12192.800299883	12193.306600094	2024/8/3  11:33:04.8003	2024/8/3	11:33:05.3066	0.5063	6842.105	13157.895	7500	Delphinidae	whistles	SA
51	CESCAB_20240803_113252.flac	CESCAB_20240803_113252.flac	12193.65079999	12194.07159996	2024/8/3  11:33:05.6508	2024/8/3	11:33:06.0716	0.4208	9699.248	16240.602	9843.75	Delphinidae	whistles	SA
52	CESCAB_20240803_113252.flac	CESCAB_20240803_113252.flac	12195.795099974	12196.287800074	2024/8/3  11:33:07.7951	2024/8/3	11:33:08.2878	0.4927	9473.684	14812.03	9843.75	Delphinidae	whistles	SA
53	CESCAB_20240803_113252.flac	CESCAB_20240803_113252.flac	12202.176100016	12202.666599989	2024/8/3  11:33:14.1761	2024/8/3	11:33:14.6666	0.4905	10827.068	16691.729	11250	Delphinidae	whistles	SA
54	CESCAB_20240803_113252.flac	CESCAB_20240803_113252.flac	12208.719099998	12209.337800026	2024/8/3  11:33:20.7191	2024/8/3	11:33:21.3378	0.6187	9774.436	15639.098	11718.75	Delphinidae	whistles	SA
55	CESCAB_20240803_115522.flac	CESCAB_20240803_115522.flac	12274.785700083	12275.075999975	2024/8/3  11:55:26.7857	2024/8/3	11:55:27.0760	0.2903	5939.85	8796.992	6093.75	Delphinidae	whistles	SA
56	CESCAB_20240803_115522.flac	CESCAB_20240803_115522.flac	12276.553200006	12277.113500118	2024/8/3  11:55:28.5532	2024/8/3	11:55:29.1135	0.5603	7142.857	12857.143	7500	Delphinidae	whistles	SA
57	CESCAB_20240803_115522.flac	CESCAB_20240803_115522.flac	12277.253000021	12277.552200079	2024/8/3  11:55:29.2530	2024/8/3	11:55:29.5522	0.2992	10075.188	14812.03	11718.75	Delphinidae	whistles	SA
58	CESCAB_20240803_115522.flac	CESCAB_20240803_115522.flac	12278.309499979	12278.662800074	2024/8/3  11:55:30.3095	2024/8/3	11:55:30.6628	0.3533	8872.18	14586.466	11718.75	Delphinidae	whistles	SA
59	CESCAB_20240803_115522.flac	CESCAB_20240803_115522.flac	12279.112799883	12279.526799917	2024/8/3  11:55:31.1128	2024/8/3	11:55:31.5268	0.414	4887.218	9548.872	5625	Delphinidae	whistles	SA
60	CESCAB_20240803_115522.flac	CESCAB_20240803_115522.flac	12283.152299881	12283.298700094	2024/8/3  11:55:35.1523	2024/8/3	11:55:35.2987	0.1464	6917.293	13233.083	7500	Delphinidae	whistles	SA
61	CESCAB_20240803_115522.flac	CESCAB_20240803_115522.flac	12286.448199987	12286.979199886	2024/8/3  11:55:38.4482	2024/8/3	11:55:38.9792	0.531	7218.045	12180.451	7500	Delphinidae	whistles	SA
62	CESCAB_20240803_115522.flac	CESCAB_20240803_115522.flac	12286.859899998	12287.132200003	2024/8/3  11:55:38.8599	2024/8/3	11:55:39.1322	0.2723	6992.481	11052.632	7031.25	Delphinidae	whistles	SA
63	CESCAB_20240803_115522.flac	CESCAB_20240803_115522.flac	12298.240400076	12298.530699968	2024/8/3  11:55:50.2404	2024/8/3	11:55:50.5307	0.2903	6842.105	12255.639	7031.25	Delphinidae	whistles	SA
64	CESCAB_20240803_143252.flac	CESCAB_20240803_143252.flac	12918.569200039	12919.638000011	2024/8/3  14:33:10.5692	2024/8/3	14:33:11.6380	1.0688	6541.353	16616.541	8906.25	Delphinidae	whistles	SA
65	CESCAB_20240803_184022.flac	CESCAB_20240803_184022.flac	13892.867500067	13893.369299889	2024/8/3  18:40:24.8675	2024/8/3	18:40:25.3693	0.5018	8796.992	14812.03	9843.75	Delphinidae	whistles	SA
66	CESCAB_20240803_184022.flac	CESCAB_20240803_184022.flac	13906.032299995	13906.383300066	2024/8/3  18:40:38.0323	2024/8/3	18:40:38.3833	0.351	9624.06	16240.602	15468.75	Delphinidae	whistles	SA
67	CESCAB_20240803_185522.flac	CESCAB_20240803_185522.flac	13954.947400093	13955.911499977	2024/8/3  18:55:26.9474	2024/8/3	18:55:27.9115	0.9641	9849.624	15864.662	15468.75	Delphinidae	whistles	SA
68	CESCAB_20240803_185522.flac	CESCAB_20240803_185522.flac	13957.407000065	13958.272500038	2024/8/3  18:55:29.4070	2024/8/3	18:55:30.2725	0.8655	7593.985	14210.526	14062.5	Delphinidae	whistles	SA
69	CESCAB_20240803_185522.flac	CESCAB_20240803_185522.flac	13958.619400024	13959.071199894	2024/8/3  18:55:30.6194	2024/8/3	18:55:31.0712	0.4518	6766.917	11654.135	9843.75	Delphinidae	whistles	SA
70	CESCAB_20240803_190252.flac	CESCAB_20240803_190252.flac	13992.967900038	13994.918400049	2024/8/3  19:03:04.9679	2024/8/3	19:03:06.9184	1.9505	4887.218	18045.113	17812.5	Delphinidae	whistles	SA
71	CESCAB_20240803_190252.flac	CESCAB_20240803_190252.flac	14006.707600117	14007.12770009	2024/8/3  19:03:18.7076	2024/8/3	19:03:19.1277	0.4201	9097.744	15563.91	11718.75	Delphinidae	whistles	SA
72	CESCAB_20240803_191022.flac	CESCAB_20240803_191022.flac	14023.15199995	14023.708800077	2024/8/3  19:10:35.1520	2024/8/3	19:10:35.7088	0.5568	10000	17819.549	15468.75	Delphinidae	whistles	SA
73	CESCAB_20240803_191022.flac	CESCAB_20240803_191022.flac	14027.694900036	14028.614500046	2024/8/3  19:10:39.6949	2024/8/3	19:10:40.6145	0.9196	6240.602	14736.842	7968.75	Delphinidae	whistles	SA
74	CESCAB_20240803_191022.flac	CESCAB_20240803_191022.flac	14028.627199888	14029.066299915	2024/8/3  19:10:40.6272	2024/8/3	19:10:41.0663	0.4391	8120.301	18045.113	8437.5	Delphinidae	whistles	SA
75	CESCAB_20240803_191022.flac	CESCAB_20240803_191022.flac	14029.289000034	14030.3677001	2024/8/3  19:10:41.2890	2024/8/3	19:10:42.3677	1.0787	5939.85	21654.135	21562.5	Delphinidae	whistles	SA
76	CESCAB_20240803_191022.flac	CESCAB_20240803_191022.flac	14030.173599958	14031.026400089	2024/8/3  19:10:42.1736	2024/8/3	19:10:43.0264	0.8528	7518.797	16842.105	7968.75	Delphinidae	whistles	SA
77	CESCAB_20240803_191752.flac	CESCAB_20240803_191752.flac	14050.780400038	14051.101799965	2024/8/3  19:18:02.7804	2024/8/3	19:18:03.1018	0.3214	9172.932	14135.338	14062.5	Delphinidae	whistles	SA
78	CESCAB_20240803_204022.flac	CESCAB_20240803_204022.flac	14384.314100027	14385.065000057	2024/8/3  20:40:36.3141	2024/8/3	20:40:37.0650	0.7509	7894.737	13909.774	8437.5	Delphinidae	whistles	SA
79	CESCAB_20240803_204022.flac	CESCAB_20240803_204022.flac	14386.590800047	14387.478600025	2024/8/3  20:40:38.5908	2024/8/3	20:40:39.4786	0.8878	9774.436	15488.722	10781.25	Delphinidae	whistles	SA
80	CESCAB_20240803_204022.flac	CESCAB_20240803_204022.flac	14391.365799904	14392.99819994	2024/8/3  20:40:43.3658	2024/8/3	20:40:44.9982	1.6324	6466.165	16315.789	6562.5	Delphinidae	whistles	SA
81	CESCAB_20240803_205522.flac	CESCAB_20240803_205522.flac	14430.022700071	14430.280499935	2024/8/3  20:55:22.0227	2024/8/3	20:55:22.2805	0.2578	7518.797	13007.519	8437.5	Delphinidae	whistles	SA
82	CESCAB_20240803_205522.flac	CESCAB_20240803_205522.flac	14440.927400112	14441.904299974	2024/8/3  20:55:32.9274	2024/8/3	20:55:33.9043	0.9769	7293.233	14060.15	7500	Delphinidae	whistles	SA
83	CESCAB_20240803_205522.flac	CESCAB_20240803_205522.flac	14443.145900011	14443.709100008	2024/8/3  20:55:35.1459	2024/8/3	20:55:35.7091	0.5632	8872.18	19774.436	11250	Delphinidae	whistles	SA
84	CESCAB_20240803_205522.flac	CESCAB_20240803_205522.flac	14456.448899984	14456.744800091	2024/8/3  20:55:48.4489	2024/8/3	20:55:48.7448	0.2959	10751.88	16541.353	11250	Delphinidae	whistles	SA
85	CESCAB_20240803_210252.flac	CESCAB_20240803_210252.flac	14460.383599997	14461.004100084	2024/8/3  21:02:52.3836	2024/8/3	21:02:53.0041	0.6205	8421.053	20676.692	14062.5	Delphinidae	whistles	SA
86	CESCAB_20240803_210252.flac	CESCAB_20240803_210252.flac	14474.17750001	14474.85529995	2024/8/3  21:03:06.1775	2024/8/3	21:03:06.8553	0.6778	11729.323	16240.602	14062.5	Delphinidae	whistles	SA
87	CESCAB_20240804_110252.flac	CESCAB_20240804_110252.flac	17825.506400108	17825.762900114	2024/8/4  11:02:57.5064	2024/8/4	11:02:57.7629	0.2565	7414.773	13380.682	8437.5	Delphinidae	whistles	SA
88	CESCAB_20240804_174022.flac	CESCAB_20240804_174022.flac	19434.084000111	19434.988500118	2024/8/4  17:40:46.0840	2024/8/4	17:40:46.9885	0.9045	10568.182	18750	17343.75	Delphinidae	whistles	SA
89	CESCAB_20240804_211752.flac	CESCAB_20240804_212522.flac	20309.884500027	20310.29399991	2024/8/4  21:18:21.8845	2024/8/4	21:25:22.2940	0.4095	6988.636	15340.909	7500	Delphinidae	whistles	SA
90	CESCAB_20240804_212522.flac	CESCAB_20240804_212522.flac	20311.643100023	20312.171299934	2024/8/4  21:25:23.6431	2024/8/4	21:25:24.1713	0.5282	9715.909	14744.318	10312.5	Delphinidae	whistles	SA
91	CESCAB_20240804_212522.flac	CESCAB_20240804_212522.flac	20313.849499941	20314.199500084	2024/8/4  21:25:25.8495	2024/8/4	21:25:26.1995	0.35	7329.545	14062.5	10312.5	Delphinidae	whistles	SA
92	CESCAB_20240804_212522.flac	CESCAB_20240804_212522.flac	20315.076299906	20315.530800104	2024/8/4  21:25:27.0763	2024/8/4	21:25:27.5308	0.4545	7073.864	13295.455	10312.5	Delphinidae	whistles	SA
93	CESCAB_20240804_212522.flac	CESCAB_20240804_212522.flac	20323.270999908	20323.662499905	2024/8/4  21:25:35.2710	2024/8/4	21:25:35.6625	0.3915	8948.864	16193.182	10312.5	Delphinidae	whistles	SA
94	CESCAB_20240804_214752.flac	CESCAB_20240804_214752.flac	20417.880000114	20418.707999945	2024/8/4  21:48:09.8800	2024/8/4	21:48:10.7080	0.828	7073.864	16107.955	7968.75	Delphinidae	whistles	SA
95	CESCAB_20240804_214752.flac	CESCAB_20240804_214752.flac	20422.517199993	20423.127000094	2024/8/4  21:48:14.5172	2024/8/4	21:48:15.1270	0.6098	5284.091	15255.682	5625	Delphinidae	whistles	SA
96	CESCAB_20240804_214752.flac	CESCAB_20240804_214752.flac	20424.92750001	20425.604799986	2024/8/4  21:48:16.9275	2024/8/4	21:48:17.6048	0.6773	7159.091	16704.545	7968.75	Delphinidae	whistles	SA
97	CESCAB_20240804_215522.flac	CESCAB_20240804_215522.flac	20435.994199991	20436.898699999	2024/8/4  21:55:27.9942	2024/8/4	21:55:28.8987	0.9045	8096.591	15937.5	9375	Delphinidae	whistles	SA
98	CESCAB_20240804_224022.flac	CESCAB_20240804_224022.flac	20613.735699892	20614.066499949	2024/8/4  22:40:25.7357	2024/8/4	22:40:26.0665	0.3308	6903.409	17301.136	7500	Delphinidae	whistles	SA
99	CESCAB_20240804_224752.flac	CESCAB_20240804_224752.flac	20647.575700045	20647.868200064	2024/8/4  22:47:59.5757	2024/8/4	22:47:59.8682	0.2925	9119.318	16022.727	12187.5	Delphinidae	whistles	SA
100	CESCAB_20240804_224752.flac	CESCAB_20240804_224752.flac	20648.480200052	20648.846999884	2024/8/4  22:48:00.4802	2024/8/4	22:48:00.8470	0.3668	6477.273	15085.227	6562.5	Delphinidae	whistles	SA
101	CESCAB_20240805_002522.flac	CESCAB_20240805_002522.flac	21041.729300022	21042.485300064	2024/8/5  0:25:33.7293	2024/8/5	0:25:34.4853	0.756	6766.917	18947.368	7500	Delphinidae	whistles	SA
102	CESCAB_20240805_002522.flac	CESCAB_20240805_002522.flac	21050.060600042	21050.708600044	2024/8/5  0:25:42.0606	2024/8/5	0:25:42.7086	0.648	9398.496	17142.857	11250	Delphinidae	whistles	SA
103	CESCAB_20240805_002522.flac	CESCAB_20240805_002522.flac	21058.71329999	21059.716799974	2024/8/5  0:25:50.7133	2024/8/5	0:25:51.7168	1.0035	8796.992	21879.699	8906.25	Delphinidae	whistles	SA
104	CESCAB_20240805_021752_surface.flac	CESCAB_20240805_021752_surface.flac	21491.593899965	21492.232899904	2024/8/5  2:18:03.5939	2024/8/5	2:18:04.2329	0.639	7593.985	19774.436	7968.75	Delphinidae	whistles	SA
105	CESCAB_20240805_021752_surface.flac	CESCAB_20240805_021752_surface.flac	21498.163899898	21499.014400005	2024/8/5  2:18:10.1639	2024/8/5	2:18:11.0144	0.8505	7067.669	12932.331	7968.75	Delphinidae	whistles	SA
106	CESCAB_20240805_023252.flac	CESCAB_20240805_023252.flac	21547.111599922	21547.890100002	2024/8/5  2:32:59.1116	2024/8/5	2:32:59.8901	0.7785	8421.053	14360.902	9375	Delphinidae	whistles	SA
107	CESCAB_20240805_023252.flac	CESCAB_20240805_023252.flac	21548.502099991	21549.501100063	2024/8/5  2:33:00.5021	2024/8/5	2:33:01.5011	0.999	4887.218	14812.03	5156.25	Delphinidae	whistles	SA
108	CESCAB_20240805_025522.flac	CESCAB_20240805_025522.flac	21634.239000082	21634.594500065	2024/8/5  2:55:26.2390	2024/8/5	2:55:26.5945	0.3555	9548.872	15037.594	10312.5	Delphinidae	whistles	SA
109	CESCAB_20240805_031022.flac	CESCAB_20240805_031022.flac	21700.456500053	21700.95600009	2024/8/5  3:10:32.4565	2024/8/5	3:10:32.9560	0.4995	7969.925	14511.278	8437.5	Delphinidae	whistles	SA
110	CESCAB_20240805_031022.flac	CESCAB_20240805_031022.flac	21704.074599981	21704.930599928	2024/8/5  3:10:36.0746	2024/8/5	3:10:36.9306	0.856	6766.917	14812.03	10312.5	Delphinidae	whistles	SA
111	CESCAB_20240805_031022.flac	CESCAB_20240805_031022.flac	21707.374700069	21707.998399973	2024/8/5  3:10:39.3747	2024/8/5	3:10:39.9984	0.6237	10375.94	19473.684	17343.75	Delphinidae	whistles	SA
112	CESCAB_20240805_034022.flac	CESCAB_20240805_034022.flac	21833.911200046	21835.553100109	2024/8/5  3:40:45.9112	2024/8/5	3:40:47.5531	1.6419	9548.872	24060.15	20156.25	Delphinidae	whistles	SA
113	CESCAB_20240805_043252.flac	CESCAB_20240805_043252.flac	22034.68050003	22035.743299961	2024/8/5  4:33:06.6805	2024/8/5	4:33:07.7433	1.0628	8270.677	15338.346	10781.25	Delphinidae	whistles	SA
114	CESCAB_20240805_043252.flac	CESCAB_20240805_043252.flac	22036.328399897	22037.292500019	2024/8/5  4:33:08.3284	2024/8/5	4:33:09.2925	0.9641	8796.992	15864.662	10781.25	Delphinidae	whistles	SA
115	CESCAB_20240805_043252.flac	CESCAB_20240805_043252.flac	22038.050600052	22039.240700006	2024/8/5  4:33:10.0506	2024/8/5	4:33:11.2407	1.1901	8496.241	14887.218	10781.25	Delphinidae	whistles	SA
116	CESCAB_20240805_043252.flac	CESCAB_20240805_043252.flac	22038.833400011	22039.746599913	2024/8/5  4:33:10.8334	2024/8/5	4:33:11.7466	0.9132	8120.301	14661.654	10781.25	Delphinidae	whistles	SA
117	CESCAB_20240805_043252.flac	CESCAB_20240805_043252.flac	22039.909600019	22040.883300066	2024/8/5  4:33:11.9096	2024/8/5	4:33:12.8833	0.9737	9097.744	14436.09	10781.25	Delphinidae	whistles	SA
118	CESCAB_20240805_043252.flac	CESCAB_20240805_043252.flac	22040.075099945	22040.838799954	2024/8/5  4:33:12.0751	2024/8/5	4:33:12.8388	0.7637	9248.12	19699.248	19218.75	Delphinidae	whistles	SA
119	CESCAB_20240805_044752.flac	CESCAB_20240805_044752.flac	22096.480400085	22097.158200026	2024/8/5  4:48:08.4804	2024/8/5	4:48:09.1582	0.6778	9774.436	15789.474	10312.5	Delphinidae	whistles	SA
120	CESCAB_20240805_044752.flac	CESCAB_20240805_044752.flac	22098.460599899	22099.571099997	2024/8/5  4:48:10.4606	2024/8/5	4:48:11.5711	1.1105	10225.564	18496.241	17343.75	Delphinidae	whistles	SA
121	CESCAB_20240805_044752.flac	CESCAB_20240805_044752.flac	22100.300699949	22101.411200046	2024/8/5  4:48:12.3007	2024/8/5	4:48:13.4112	1.1105	7368.421	15789.474	7968.75	Delphinidae	whistles	SA
