Selection	Begin File	End File	Begin Time (s)	End Time (s)	Begin Date Time	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	End Date	End Clock Time	Species	Signal Type	annotator
29	CESCAB_20240803_190252.flac	CESCAB_20240803_190252.flac	13992.712801597	13995.081028449	2024-08-03 19:03:04	2.3682	2090.727	24451.58	23437.5	2024-08-03	19:03:07	Delphinidae	whistles	GJ
30	CESCAB_20240803_191022.flac	CESCAB_20240803_191022.flac	14027.366245699	14031.758718992	2024-08-03 19:10:39	4.3925	3324.937	24483.627	23437.5	2024-08-03	19:10:43	Delphinidae	whistles	GJ
31	CESCAB_20240803_201752.flac	CESCAB_20240803_204022.flac	14280.277430577	14399.948209258	2024-08-03 20:17:52	119.6708	11453.074	84332.494	11718.75	2024-08-03	20:40:51	Delphinidae	clicks	GJ
32	CESCAB_20240803_204022.flac	CESCAB_20240803_204022.flac	14383.932976042	14385.808959829	2024-08-03 20:40:35	1.876	4231.738	17531.486	5625	2024-08-03	20:40:37	Delphinidae	whistles	GJ
33	CESCAB_20240803_204022.flac	CESCAB_20240803_204022.flac	14386.043457802	14387.91944159	2024-08-03 20:40:38	1.876	4231.738	17531.486	5625	2024-08-03	20:40:39	Delphinidae	whistles	GJ
34	CESCAB_20240803_204022.flac	CESCAB_20240803_204022.flac	14391.203414215	14393.079398002	2024-08-03 20:40:43	1.876	3627.204	16926.952	3750	2024-08-03	20:40:45	Delphinidae	whistles	GJ
35	CESCAB_20240803_205522.flac	CESCAB_20240803_205522.flac	14440.439558872	14442.31554266	2024-08-03 20:55:32	1.876	3985.124	17284.872	4218.75	2024-08-03	20:55:34	Delphinidae	whistles	GJ
36	CESCAB_20240804_075522.flac	CESCAB_20240804_075522.flac	17072.518091666	17079.294699111	2024-08-04 07:55:24	6.7766	0	25214.008	0	2024-08-04	07:55:31	Physeter macrocephalus	clicks	GJ
37	CESCAB_20240804_154022.flac	CESCAB_20240804_154752.flac	18930.140138837	18976.86962821	2024-08-04 15:40:22	46.7295	0	28482.49	11250	2024-08-04	15:48:08	Physeter macrocephalus	clicks	GJ
38	CESCAB_20240804_174022.flac	CESCAB_20240804_174022.flac	19411.802124511	19439.784369301	2024-08-04 17:40:23	27.9822	10272.374	108610.274	34687.5	2024-08-04	17:40:51	Delphinidae	clicks	GJ
39	CESCAB_20240804_181022.flac	CESCAB_20240804_182522.flac	19530.065766667	19603.608187214	2024-08-04 18:10:22	73.5424	0	22608.669	0	2024-08-04	18:25:35	Physeter macrocephalus	clicks	GJ
40	CESCAB_20240804_185522.flac	CESCAB_20240804_185522.flac	19710.359875522	19739.231174366	2024-08-04 18:55:22	28.8713	0	18618.904	0	2024-08-04	18:55:51	Physeter macrocephalus	clicks	GJ
41	CESCAB_20240804_191022.flac	CESCAB_20240804_192522.flac	19774.896958047	19840.153240241	2024-08-04 19:10:26	65.2563	0	19851.852	0	2024-08-04	19:25:32	Physeter macrocephalus	clicks	GJ
42	CESCAB_20240804_211022.flac	CESCAB_20240804_211752.flac	20277.149595708	20309.823810293	2024-08-04 21:10:49	32.6742	2334.63	27081.712	2343.75	2024-08-04	21:18:21	Physeter macrocephalus	clicks	GJ
43	CESCAB_20240804_212522.flac	CESCAB_20240804_212522.flac	20311.056263581	20312.932247368	2024-08-04 21:25:23	1.876	4028.949	17328.697	4218.75	2024-08-04	21:25:24	Delphinidae	whistles	GJ
44	CESCAB_20240804_212522.flac	CESCAB_20240804_212522.flac	20314.40757339	20316.283557177	2024-08-04 21:25:26	1.876	4028.949	17328.697	4218.75	2024-08-04	21:25:28	Delphinidae	whistles	GJ
45	CESCAB_20240804_221022.flac	CESCAB_20240804_221022.flac	20504.860481236	20519.588131	2024-08-04 22:10:36	14.7276	0	20322.773	0	2024-08-04	22:10:51	Physeter macrocephalus	clicks	GJ
46	CESCAB_20240805_002522.flac	CESCAB_20240805_002522.flac	21049.539395886	21051.415379673	2024-08-05 00:25:41	1.876	5236.123	18535.871	5625	2024-08-05	00:25:43	Delphinidae	whistles	GJ
47	CESCAB_20240805_002522.flac	CESCAB_20240805_002522.flac	21058.099343279	21059.994115768	2024-08-05 00:25:50	1.8948	4929.228	25446.099	5156.25	2024-08-05	00:25:51	Delphinidae	whistles	GJ
48	CESCAB_20240805_011752.flac	CESCAB_20240805_011752.flac	21247.109695107	21266.891185194	2024-08-05 01:17:59	19.7815	15717.884	64080.605	22968.75	2024-08-05	01:18:18	Delphinidae	clicks	GJ
49	CESCAB_20240805_014022.flac	CESCAB_20240805_014022.flac	21330.317869585	21342.899424378	2024-08-05 01:40:22	12.5816	11327.958	60273.283	22031.25	2024-08-05	01:40:34	Delphinidae	clicks	GJ
50	CESCAB_20240805_022522.flac	CESCAB_20240805_022522.flac	21517.382439559	21535.909220355	2024-08-05 02:25:29	18.5268	14320.248	88913.78	24843.75	2024-08-05	02:25:47	Delphinidae	clicks	GJ
51	CESCAB_20240805_023252.flac	CESCAB_20240805_023252.flac	21546.931126835	21549.641330424	2024-08-05 02:32:58	2.7102	4401.11	17700.858	5156.25	2024-08-05	02:33:01	Delphinidae	whistles	GJ
52	CESCAB_20240805_024022.flac	CESCAB_20240805_051752.flac	21597.316335579	22228.838965585	2024-08-05 02:40:49	631.5226	8161.209	99143.577	15468.75	2024-08-05	05:18:20	Delphinidae	clicks	GJ
53	CESCAB_20240805_031022.flac	CESCAB_20240805_031022.flac	21699.970953168	21701.846936955	2024-08-05 03:10:31	1.876	4231.738	17531.486	4687.5	2024-08-05	03:10:33	Delphinidae	whistles	GJ
54	CESCAB_20240805_031022.flac	CESCAB_20240805_031022.flac	21703.586265027	21705.462248814	2024-08-05 03:10:35	1.876	4231.738	17531.486	4687.5	2024-08-05	03:10:37	Delphinidae	whistles	GJ
55	CESCAB_20240805_034022.flac	CESCAB_20240805_034022.flac	21833.891257611	21835.767241398	2024-08-05 03:40:45	1.876	7029.169	20328.917	20156.25	2024-08-05	03:40:47	Delphinidae	whistles	GJ
56	CESCAB_20240805_043252.flac	CESCAB_20240805_043252.flac	22036.062360938	22037.938344725	2024-08-05 04:33:08	1.876	4231.738	17531.486	5625	2024-08-05	04:33:09	Delphinidae	whistles	GJ
57	CESCAB_20240805_043252.flac	CESCAB_20240805_043252.flac	22037.967138157	22041.36129015	2024-08-05 04:33:09	3.3942	4678.083	19877.359	19687.5	2024-08-05	04:33:13	Delphinidae	whistles	GJ
58	CESCAB_20240805_044752.flac	CESCAB_20240805_044752.flac	22098.11332041	22099.989304197	2024-08-05 04:48:10	1.876	7254.408	20554.156	17343.75	2024-08-05	04:48:11	Delphinidae	whistles	GJ
59	CESCAB_20240805_044752.flac	CESCAB_20240805_044752.flac	22099.903254222	22101.77923801	2024-08-05 04:48:11	1.876	4534.005	17833.753	4687.5	2024-08-05	04:48:13	Delphinidae	whistles	GJ
60	CESCAB_20240805_045522.flac	CESCAB_20240805_045522.flac	22110.025863489	22111.30185591	2024-08-05 04:55:22	1.276	4231.738	17531.486	4687.5	2024-08-05	04:55:23	Delphinidae	whistles	GJ
61	CESCAB_20240805_045522.flac	CESCAB_20240805_045522.flac	22120.393106013	22122.2690898	2024-08-05 04:55:32	1.876	4231.738	29017.632	5156.25	2024-08-05	04:55:34	Delphinidae	whistles	GJ
62	CESCAB_20240805_070252.flac	CESCAB_20240805_070252.flac	22623.733960277	22640.571543192	2024-08-05 07:02:55	16.8376	2146.083	18324.246	2343.75	2024-08-05	07:03:12	Delphinidae	whistles	GJ
63	CESCAB_20240805_070252.flac	CESCAB_20240805_070252.flac	22647.241644319	22649.117628106	2024-08-05 07:03:19	1.876	3090.04	16389.788	4218.75	2024-08-05	07:03:21	Delphinidae	whistles	GJ
64	CESCAB_20240805_073252.flac	CESCAB_20240805_073252.flac	22747.316309584	22749.875698351	2024-08-05 07:32:59	2.5594	4575.79	17875.538	5156.25	2024-08-05	07:33:01	Delphinidae	whistles	GJ
65	CESCAB_20240805_073252.flac	CESCAB_20240805_073252.flac	22766.241714698	22768.117698485	2024-08-05 07:33:18	1.876	4028.949	17328.697	5156.25	2024-08-05	07:33:20	Delphinidae	whistles	GJ
66	CESCAB_20240805_074022.flac	CESCAB_20240805_074022.flac	22786.851828557	22789.000101484	2024-08-05 07:40:38	2.1483	3352.21	20113.26	3750	2024-08-05	07:40:41	Delphinidae	whistles	GJ
67	CESCAB_20240805_074752.flac	CESCAB_20240805_074752.flac	22803.731372677	22807.143335562	2024-08-05 07:47:55	3.412	4399.776	21579.851	10312.5	2024-08-05	07:47:59	Delphinidae	whistles	GJ
68	CESCAB_20240805_074752.flac	CESCAB_20240805_074752.flac	22815.641650524	22827.046452387	2024-08-05 07:48:07	11.4048	2723.671	21998.878	10312.5	2024-08-05	07:48:19	Delphinidae	whistles	GJ
69	CESCAB_20240805_075522.flac	CESCAB_20240805_075522.flac	22830.337145227	22833.622739116	2024-08-05 07:55:22	3.2856	3980.749	24513.035	6093.75	2024-08-05	07:55:25	Delphinidae	whistles	GJ
70	CESCAB_20240805_075522.flac	CESCAB_20240805_075522.flac	22846.547883222	22848.506602656	2024-08-05 07:55:38	1.9587	2514.157	25141.574	2812.5	2024-08-05	07:55:40	Delphinidae	whistles	GJ
